id,start.date,start.rating,end.date,end.rating,time,start.year,end.year,,
52,37406,3,38716,3,1310,2002,2005,,
53,36676,2,38716,2,2040,2000,2005,,
54,36881,6,37194,7,313,2000,2001,,
54,37194,7,37467,8,273,2001,2002,,
56,37406,5,37771,6,365,2002,2003,,
56,37771,6,38716,6,945,2003,2005,,
57,36310,3,37032,3,722,1999,2001,,
58,38159,2,38716,2,557,2004,2005,,
59,38137,4,38716,4,579,2004,2005,,
60,36369,5,36860,5,491,1999,2000,,
61,36765,4,38716,4,1951,2000,2005,,
62,36301,3,37985,3,1684,1999,2003,,
62,37985,3,38716,3,731,2003,2005,,
63,36433,3,37771,3,1338,1999,2003,,
63,37771,3,38716,3,945,2003,2005,,
64,37467,5,37771,4,304,2002,2003,,
64,37771,4,38716,4,945,2003,2005,,
65,36667,5,37041,5,374,2000,2001,,
65,37041,5,37620,4,579,2001,2002,,
65,37620,4,38137,4,517,2002,2004,,
65,38137,4,38716,4,579,2004,2005,,
66,38168,4,38716,4,548,2004,2005,,
67,36676,3,37771,3,1095,2000,2003,,
67,37771,3,38168,4,397,2003,2004,,
67,38168,4,38290,4,122,2004,2004,,
67,38290,4,38351,4,61,2004,2004,,
67,38351,4,38716,4,365,2004,2005,,
68,38225,4,38716,4,491,2004,2005,,
69,36829,3,38716,3,1887,2000,2005,,
70,36707,3,37559,4,852,2000,2002,,
70,37559,4,38716,4,1157,2002,2005,,
71,38351,4,38716,4,365,2004,2005,,
72,36304,4,37397,4,1093,1999,2002,,
72,37397,4,38716,4,1319,2002,2005,,
73,36310,5,36890,5,580,1999,2000,,
73,36890,5,37620,4,730,2000,2002,,
73,37620,4,38716,4,1096,2002,2005,,
74,36369,5,36676,5,307,1999,2000,,
74,36676,5,37406,4,730,2000,2002,,
74,37406,4,38716,4,1310,2002,2005,,
75,36463,3,37771,3,1308,1999,2003,,
75,37771,3,38716,3,945,2003,2005,,
76,37406,3,37823,3,417,2002,2003,,
77,37102,4,37894,6,792,2001,2003,,
77,37894,6,37985,6,91,2003,2003,,
77,37985,6,38716,6,731,2003,2005,,
78,37620,1,38716,1,1096,2002,2005,,
79,38137,2,38716,2,579,2004,2005,,
81,37255,3,37437,4,182,2001,2002,,
81,37437,4,38716,4,1279,2002,2005,,
82,37072,4,37762,4,690,2001,2003,,
82,37762,4,38716,4,954,2003,2005,,
83,36301,5,36524,5,223,1999,1999,,
83,36524,5,37216,6,692,1999,2001,,
83,37216,6,37397,6,181,2001,2002,,
83,37397,6,38716,6,1319,2002,2005,,
85,38351,4,38716,4,365,2004,2005,,
86,36881,5,37985,5,1104,2000,2003,,
86,37985,5,38137,6,152,2003,2004,,
86,38137,6,38716,6,579,2004,2005,,
87,37520,3,38716,3,1196,2002,2005,,
88,36301,5,37032,5,731,1999,2001,,
88,37032,5,38716,5,1684,2001,2005,,
89,37133,4,38716,4,1583,2001,2005,,
91,36524,2,37771,3,1247,1999,2003,,
92,36301,5,37915,5,1614,1999,2003,,
92,37915,5,38351,4,436,2003,2004,,
92,38351,4,38716,4,365,2004,2005,,
93,37428,4,38351,4,923,2002,2004,,
93,38351,4,38716,4,365,2004,2005,,
94,36676,4,38716,4,2040,2000,2005,,
95,38502,4,38716,4,214,2005,2005,,
96,36890,3,38716,3,1826,2000,2005,,
97,37063,5,37164,4,101,2001,2001,,
97,37164,4,38351,5,1187,2001,2004,,
97,38351,5,38716,5,365,2004,2005,,
98,37400,3,38716,3,1316,2002,2005,,
100,36301,4,36860,4,559,1999,2000,,
100,36860,4,37985,3,1125,2000,2003,,
100,37985,3,38716,3,731,2003,2005,,
101,37620,3,38716,3,1096,2002,2005,,
105,36524,3,38716,3,2192,1999,2005,,
106,37529,4,37771,6,242,2002,2003,,
106,37771,6,37955,5,184,2003,2003,,
106,37955,5,38716,5,761,2003,2005,,
107,36301,4,37032,4,731,1999,2001,,
107,37032,4,38716,4,1684,2001,2005,,
108,36524,3,37985,3,1461,1999,2003,,
108,37985,3,38716,3,731,2003,2005,,
110,36676,3,38716,3,2040,2000,2005,,
111,37255,2,38716,2,1461,2001,2005,,
111,37255,2,38716,2,1461,2001,2005,,
112,38351,5,38716,5,365,2004,2005,,
113,36310,4,37032,4,722,1999,2001,,
113,37032,4,38716,4,1684,2001,2005,,
114,37620,3,38716,3,1096,2002,2005,,
115,36341,3,37985,3,1644,1999,2003,,
115,37985,3,38716,3,731,2003,2005,,
116,36310,4,36675,3,365,1999,2000,,
116,36675,3,38137,3,1462,2000,2004,,
116,38137,3,38716,3,579,2004,2005,,
117,36310,4,36728,3,418,1999,2000,,
117,36728,3,38716,3,1988,2000,2005,,
118,38493,3,38716,4,223,2005,2005,,
118,38493,4,38716,4,223,2005,2005,,
120,36301,4,36524,4,223,1999,1999,,
120,36524,4,38716,4,2192,1999,2005,,
121,38251,4,38716,4,465,2004,2005,,
122,36705,3,37915,2,1210,2000,2003,,
122,37915,2,38716,2,801,2003,2005,,
123,37771,3,38128,3,357,2003,2004,,
123,38128,3,38716,3,588,2004,2005,,
124,36424,3,38716,3,2292,1999,2005,,
125,36524,2,38716,2,2192,1999,2005,,
126,37406,5,38198,4,792,2002,2004,,
126,38198,4,38716,4,518,2004,2005,,
127,36463,5,36524,5,61,1999,1999,,
127,36524,5,38716,6,2192,1999,2005,,
127,36524,6,38198,5,1674,1999,2004,,
127,38198,5,38716,5,518,2004,2005,,
128,36494,2,37620,3,1126,1999,2002,,
129,38128,3,38716,3,588,2004,2005,,
132,36890,3,37032,3,142,2000,2001,,
132,37032,3,38716,3,1684,2001,2005,,
134,36308,2,36668,2,360,1999,2000,,
134,36668,2,38136,2,1468,2000,2004,,
134,38136,2,38716,2,580,2004,2005,,
135,36676,3,37063,3,387,2000,2001,,
135,37063,3,38716,3,1653,2001,2005,,
137,37035,4,38716,4,1681,2001,2005,,
139,36524,3,37041,4,517,1999,2001,,
139,37041,4,38716,4,1675,2001,2005,,
140,38502,3,38716,3,214,2005,2005,,
142,37255,5,38137,4,882,2001,2004,,
142,38137,4,38716,4,579,2004,2005,,
143,36524,4,36676,3,152,1999,2000,,
143,36676,3,37489,3,813,2000,2002,,
143,37489,3,38716,3,1227,2002,2005,,
144,37762,4,38716,4,954,2003,2005,,
145,36676,3,38716,3,2040,2000,2005,,
146,37072,1,38716,1,1644,2001,2005,,
148,36667,3,38716,3,2049,2000,2005,,
149,37559,4,37985,3,426,2002,2003,,
149,37985,3,38716,3,731,2003,2005,,
150,37037,2,37072,2,35,2001,2001,,
150,37072,2,38135,2,1063,2001,2004,,
150,38135,2,38716,2,581,2004,2005,,
152,37771,2,38716,2,945,2003,2005,,
153,36860,4,38716,4,1856,2000,2005,,
154,37406,1,38716,1,1310,2002,2005,,
155,37863,4,38716,4,853,2003,2005,,
156,36524,6,36667,7,143,1999,2000,,
156,36667,7,36676,6,9,2000,2000,,
156,36676,6,37771,7,1095,2000,2003,,
156,37771,7,38137,6,366,2003,2004,,
156,38137,6,38321,6,184,2004,2004,,
156,38321,6,38716,6,395,2004,2005,,
157,37489,3,37581,3,92,2002,2002,,
157,37581,3,37985,3,404,2002,2003,,
160,37032,2,37985,3,953,2001,2003,,
160,37985,3,38716,3,731,2003,2005,,
161,36308,6,36728,6,420,1999,2000,,
161,36728,6,37397,7,669,2000,2002,,
161,37620,6,38716,7,1096,2002,2005,,
161,37620,7,38716,7,1096,2002,2005,,
162,36310,6,36457,6,147,1999,1999,,
162,36457,6,38716,6,2259,1999,2005,,
163,37620,3,38716,3,1096,2002,2005,,
165,37406,6,37863,7,457,2002,2003,,
165,37863,7,38137,6,274,2003,2004,,
165,38137,6,38716,6,579,2004,2005,,
166,36799,3,37620,3,821,2000,2002,,
166,37620,3,38716,4,1096,2002,2005,,
166,37620,4,38716,5,1096,2002,2005,,
166,37620,5,37985,5,365,2002,2003,,
166,37985,5,38716,5,731,2003,2005,,
167,36301,4,38168,3,1867,1999,2004,,
167,38168,3,38716,3,548,2004,2005,,
168,38220,4,38716,4,496,2004,2005,,
169,36676,2,36799,2,123,2000,2000,,
169,36799,2,38716,2,1917,2000,2005,,
170,37041,3,37255,3,214,2001,2001,,
170,37255,3,37793,4,538,2001,2003,,
170,37793,4,38351,5,558,2003,2004,,
171,36676,3,38351,3,1675,2000,2004,,
171,38351,3,38716,3,365,2004,2005,,
172,37915,3,38716,3,801,2003,2005,,
173,37255,2,37406,3,151,2001,2002,,
173,38168,2,38716,2,548,2004,2005,,
175,38351,4,38716,4,365,2004,2005,,
176,36341,5,36667,5,326,1999,2000,,
176,36667,5,37406,4,739,2000,2002,,
177,38493,2,38502,2,9,2005,2005,,
177,38502,2,38716,2,214,2005,2005,,
180,38497,2,38716,2,219,2005,2005,,
181,38198,4,38493,3,295,2004,2005,,
181,38493,3,38716,3,223,2005,2005,,
182,37032,3,37985,3,953,2001,2003,,
182,37985,3,38716,3,731,2003,2005,,
184,37771,3,38716,3,945,2003,2005,,
185,38189,3,38716,3,527,2004,2005,,
187,36762,2,37924,2,1162,2000,2003,,
187,37924,2,38716,2,792,2003,2005,,
188,36890,3,38716,3,1826,2000,2005,,
189,37467,4,38716,4,1249,2002,2005,,
191,37406,3,37559,4,153,2002,2002,,
191,37559,4,37620,4,61,2002,2002,,
191,37620,4,38716,5,1096,2002,2005,,
191,37620,5,38716,5,1096,2002,2005,,
192,36707,3,37032,3,325,2000,2001,,
192,37032,3,38716,3,1684,2001,2005,,
194,37559,3,37762,3,203,2002,2003,,
194,37762,3,38716,3,954,2003,2005,,
195,36890,4,37559,4,669,2000,2002,,
195,37559,4,38502,4,943,2002,2005,,
195,38502,4,38716,4,214,2005,2005,,
197,37985,2,38716,2,731,2003,2005,,
198,36523,4,37771,5,1248,1999,2003,,
198,37771,5,38716,5,945,2003,2005,,
200,36310,4,38716,4,2406,1999,2005,,
201,38351,4,38716,4,365,2004,2005,,
202,36332,5,36424,5,92,1999,1999,,
202,36424,5,37255,5,831,1999,2001,,
202,37255,5,38716,5,1461,2001,2005,,
203,37771,6,38137,6,366,2003,2004,,
203,38137,6,38716,6,579,2004,2005,,
204,37124,3,37406,3,282,2001,2002,,
204,37406,3,38716,4,1310,2002,2005,,
204,37406,4,37489,6,83,2002,2002,,
204,37489,6,37520,5,31,2002,2002,,
204,37520,5,37620,4,100,2002,2002,,
206,36698,4,37102,4,404,2000,2001,,
206,37102,4,38290,5,1188,2001,2004,,
206,38290,5,38716,5,426,2004,2005,,
208,37428,6,37529,6,101,2002,2002,,
208,37529,6,37620,5,91,2002,2002,,
208,37620,5,38716,5,1096,2002,2005,,
211,36368,2,37032,2,664,1999,2001,,
211,37032,2,37985,2,953,2001,2003,,
211,37985,2,38716,2,731,2003,2005,,
212,38351,4,38716,4,365,2004,2005,,
213,37406,4,38716,4,1310,2002,2005,,
214,36310,4,37559,4,1249,1999,2002,,
214,37559,4,38716,4,1157,2002,2005,,
215,37397,3,38716,3,1319,2002,2005,,
216,36301,2,37620,1,1319,1999,2002,,
216,37620,1,38716,1,1096,2002,2005,,
219,37955,3,38716,3,761,2003,2005,,
220,36768,4,38716,4,1948,2000,2005,,
221,36524,4,38716,4,2192,1999,2005,,
222,36790,3,37793,3,1003,2000,2003,,
222,37793,3,38716,3,923,2003,2005,,
223,37458,4,38716,4,1258,2002,2005,,
224,36829,5,37255,5,426,2000,2001,,
224,37255,5,37894,6,639,2001,2003,,
224,37894,6,38168,6,274,2003,2004,,
224,38168,6,38716,6,548,2004,2005,,
226,36310,4,38351,3,2041,1999,2004,,
227,37985,3,38716,3,731,2003,2005,,
229,36890,3,37032,3,142,2000,2001,,
229,37032,3,38716,3,1684,2001,2005,,
230,37590,4,37620,4,30,2002,2002,,
230,37620,4,38342,3,722,2002,2004,,
230,38342,3,38716,3,374,2004,2005,,
231,37255,3,37771,4,516,2001,2003,,
231,37771,4,38128,4,357,2003,2004,,
231,38128,4,38716,4,588,2004,2005,,
231,38716,4,38716,4,0,2005,2005,,
232,36524,3,38716,3,2192,1999,2005,,
233,37041,4,38716,4,1675,2001,2005,,
234,36829,2,38716,2,1887,2000,2005,,
235,36524,4,38716,4,2192,1999,2005,,
237,36890,3,38716,3,1826,2000,2005,,
238,36676,3,37032,3,356,2000,2001,,
238,37032,3,37255,3,223,2001,2001,,
238,37255,3,38716,3,1461,2001,2005,,
239,37032,3,37620,3,588,2001,2002,,
239,37620,3,38716,3,1096,2002,2005,,
241,36301,5,36729,4,428,1999,2000,,
241,36729,4,37185,4,456,2000,2001,,
241,37185,4,37620,3,435,2001,2002,,
241,37620,3,38716,3,1096,2002,2005,,
242,37520,5,38351,3,831,2002,2004,,
242,38351,3,38716,3,365,2004,2005,,
243,36667,3,38351,3,1684,2000,2004,,
243,38351,3,38716,3,365,2004,2005,,
244,36301,4,38281,3,1980,1999,2004,,
244,38281,3,38716,3,435,2004,2005,,
246,36676,3,37124,4,448,2000,2001,,
246,37124,4,37467,4,343,2001,2002,,
247,36301,3,37124,4,823,1999,2001,,
247,37124,4,37255,3,131,2001,2001,,
247,37255,3,37401,4,146,2001,2002,,
247,37401,4,38716,4,1315,2002,2005,,
248,37032,4,38716,5,1684,2001,2005,,
248,37032,5,38716,5,1684,2001,2005,,
248,37032,5,37620,5,588,2001,2002,,
248,37620,5,37762,6,142,2002,2003,,
248,37762,6,38533,5,771,2003,2005,,
248,38533,5,38716,5,183,2005,2005,,
249,37216,5,37529,6,313,2001,2002,,
249,37529,6,37771,6,242,2002,2003,,
249,37771,6,38716,6,945,2003,2005,,
250,37255,4,38716,4,1461,2001,2005,,
251,36301,6,36881,6,580,1999,2000,,
251,36881,6,37041,6,160,2000,2001,,
251,37041,6,38290,6,1249,2001,2004,,
251,38290,6,38351,6,61,2004,2004,,
251,38351,6,38716,6,365,2004,2005,,
252,36890,4,37590,4,700,2000,2002,,
252,37590,4,38716,4,1126,2002,2005,,
253,36667,5,38716,5,2049,2000,2005,,
254,37124,6,37771,6,647,2001,2003,,
254,37771,6,38716,6,945,2003,2005,,
255,37041,5,37955,6,914,2001,2003,,
255,37955,6,38716,6,761,2003,2005,,
256,36301,3,37041,4,740,1999,2001,,
256,37041,4,38716,4,1675,2001,2005,,
257,37185,4,37985,4,800,2001,2003,,
257,37985,4,38229,4,244,2003,2004,,
257,38229,4,38655,5,426,2004,2005,,
257,38655,5,38716,5,61,2005,2005,,
258,37102,3,38716,3,1614,2001,2005,,
259,36524,5,36890,5,366,1999,2000,,
259,36890,5,37255,6,365,2000,2001,,
259,37255,6,38130,5,875,2001,2004,,
259,38130,5,38716,5,586,2004,2005,,
261,37406,3,37771,4,365,2002,2003,,
261,37771,4,37985,4,214,2003,2003,,
261,37985,4,38716,4,731,2003,2005,,
262,36829,2,37620,1,791,2000,2002,,
262,37620,1,38716,1,1096,2002,2005,,
263,37397,5,37590,6,193,2002,2002,,
263,37590,6,38716,6,1126,2002,2005,,
264,36667,3,37063,4,396,2000,2001,,
264,37063,4,38655,5,1592,2001,2005,,
264,38655,5,38716,5,61,2005,2005,,
265,36667,8,38716,8,2049,2000,2005,,
266,36667,4,37071,4,404,2000,2001,,
266,37071,4,37437,3,366,2001,2002,,
266,37437,3,38716,3,1279,2002,2005,,
267,38137,3,38716,3,579,2004,2005,,
268,36370,6,37072,7,702,1999,2001,,
269,36667,4,37493,6,826,2000,2002,,
269,37493,6,37520,5,27,2002,2002,,
269,37520,5,37771,6,251,2002,2003,,
269,37771,6,38493,6,722,2003,2005,,
269,38493,6,38716,6,223,2005,2005,,
270,37428,5,37985,5,557,2002,2003,,
270,37985,5,38716,5,731,2003,2005,,
271,36890,3,37102,2,212,2000,2001,,
271,37102,2,38716,2,1614,2001,2005,,
272,37032,3,37397,4,365,2001,2002,,
272,37397,4,38716,4,1319,2002,2005,,
273,37041,4,37762,5,721,2001,2003,,
273,37762,5,37771,4,9,2003,2003,,
273,37771,4,38128,5,357,2003,2004,,
273,38128,5,38716,5,588,2004,2005,,
274,37164,3,38716,3,1552,2001,2005,,
275,36341,2,38716,2,2375,1999,2005,,
276,36310,2,38716,2,2406,1999,2005,,
277,38498,2,38716,2,218,2005,2005,,
279,36768,5,37032,4,264,2000,2001,,
280,37185,4,37406,4,221,2001,2002,,
280,37406,4,37894,4,488,2002,2003,,
280,37894,4,37985,5,91,2003,2003,,
280,37985,5,38133,6,148,2003,2004,,
280,38133,6,38716,6,583,2004,2005,,
281,36301,5,36890,4,589,1999,2000,,
281,36890,4,37124,4,234,2000,2001,,
282,37255,3,38716,3,1461,2001,2005,,
283,36890,3,37032,4,142,2000,2001,,
283,37032,4,37406,4,374,2001,2002,,
283,37406,4,37620,5,214,2002,2002,,
283,37620,5,37762,6,142,2002,2003,,
283,37762,6,38493,6,731,2003,2005,,
283,38493,6,38716,6,223,2005,2005,,
285,36524,6,38716,6,2192,1999,2005,,
286,37124,3,38716,3,1592,2001,2005,,
287,37032,3,37397,4,365,2001,2002,,
287,37397,4,38716,4,1319,2002,2005,,
288,37032,3,38716,3,1684,2001,2005,,
289,37590,3,38716,3,1126,2002,2005,,
290,37946,4,38716,4,770,2003,2005,,
291,37255,1,38716,1,1461,2001,2005,,
292,36463,4,37164,4,701,1999,2001,,
293,36332,4,37559,4,1227,1999,2002,,
293,37559,4,37985,4,426,2002,2003,,
293,37985,4,38129,5,144,2003,2004,,
293,38129,5,38716,5,587,2004,2005,,
294,37489,5,38716,7,1227,2002,2005,,
294,37489,7,37520,5,31,2002,2002,,
295,37041,6,37093,7,52,2001,2001,,
295,37093,7,38716,8,1623,2001,2005,,
295,37093,8,37985,7,892,2001,2003,,
295,37985,7,38128,7,143,2003,2004,,
295,38128,7,38716,7,588,2004,2005,,
296,37255,6,37406,6,151,2001,2002,,
296,37406,6,37768,7,362,2002,2003,,
296,37768,7,38716,7,948,2003,2005,,
300,38502,4,38716,4,214,2005,2005,,
301,37225,4,37620,4,395,2001,2002,,
301,37620,4,37802,4,182,2002,2003,,
301,37802,4,38716,4,914,2003,2005,,
303,37915,5,38251,5,336,2003,2004,,
303,38251,5,38716,5,465,2004,2005,,
304,37225,2,37255,1,30,2001,2001,,
304,37255,1,38502,2,1247,2001,2005,,
304,38502,2,38716,2,214,2005,2005,,
304,38502,2,38716,2,214,2005,2005,,
305,37072,4,37133,4,61,2001,2001,,
305,37133,4,37255,5,122,2001,2001,,
305,37255,5,37401,5,146,2001,2002,,
305,37401,5,38716,5,1315,2002,2005,,
306,36310,4,38716,4,2406,1999,2005,,
307,37771,3,38716,3,945,2003,2005,,
308,38502,2,38716,2,214,2005,2005,,
308,38502,2,38716,2,214,2005,2005,,
312,36371,6,38716,6,2345,1999,2005,,
313,37458,2,37771,3,313,2002,2003,,
313,37771,3,38716,3,945,2003,2005,,
314,36457,7,38716,7,2259,1999,2005,,
315,38493,5,38716,5,223,2005,2005,,
316,38312,4,38716,4,404,2004,2005,,
317,37041,8,37064,6,23,2001,2001,,
317,37064,6,37255,7,191,2001,2001,,
317,37255,7,38716,7,1461,2001,2005,,
318,36890,5,38351,4,1461,2000,2004,,
318,38351,4,38716,4,365,2004,2005,,
319,37863,4,38716,4,853,2003,2005,,
320,36371,7,36524,7,153,1999,1999,,
322,36301,3,37102,4,801,1999,2001,,
322,37102,4,37826,4,724,2001,2003,,
322,37826,4,38716,4,890,2003,2005,,
323,36494,3,36676,3,182,1999,2000,,
323,36676,3,37041,3,365,2000,2001,,
323,37041,3,38351,5,1310,2001,2004,,
323,38351,5,38716,5,365,2004,2005,,
324,38137,3,38716,3,579,2004,2005,,
325,36463,6,36667,6,204,1999,2000,,
325,36667,6,36676,6,9,2000,2000,,
325,36676,6,37032,7,356,2000,2001,,
325,37032,7,37072,7,40,2001,2001,,
326,38189,3,38716,3,527,2004,2005,,
328,36310,6,36667,5,357,1999,2000,,
328,36667,5,38220,5,1553,2000,2004,,
328,38220,5,38716,5,496,2004,2005,,
329,37225,4,37255,5,30,2001,2001,,
329,37255,5,38716,6,1461,2001,2005,,
329,37255,6,37428,6,173,2001,2002,,
329,37428,6,37924,7,496,2002,2003,,
329,37924,7,38716,7,792,2003,2005,,
330,37793,6,38716,6,923,2003,2005,,
331,36494,6,36890,7,396,1999,2000,,
331,36890,7,38716,7,1826,2000,2005,,
334,36310,6,36332,8,22,1999,1999,,
334,36332,8,36494,5,162,1999,1999,,
334,36494,5,37037,5,543,1999,2001,,
334,37037,5,38716,5,1679,2001,2005,,
335,37133,4,37985,3,852,2001,2003,,
335,37985,3,38716,3,731,2003,2005,,
336,37771,4,38716,4,945,2003,2005,,
337,37590,4,38716,4,1126,2002,2005,,
338,36672,3,38281,3,1609,2000,2004,,
338,38281,3,38716,3,435,2004,2005,,
339,36371,3,36494,4,123,1999,1999,,
339,36494,4,37032,4,538,1999,2001,,
339,37032,4,37255,4,223,2001,2001,,
339,37255,4,38625,4,1370,2001,2005,,
339,38625,4,38716,4,91,2005,2005,,
340,36310,5,37885,6,1575,1999,2003,,
340,37885,6,38716,6,831,2003,2005,,
341,38128,2,38716,2,588,2004,2005,,
342,36524,6,37032,6,508,1999,2001,,
342,37032,6,37124,7,92,2001,2001,,
342,37124,7,37155,8,31,2001,2001,,
342,37155,8,37225,7,70,2001,2001,,
342,37225,7,37255,6,30,2001,2001,,
342,37255,6,37985,7,730,2001,2003,,
342,37985,7,38716,7,731,2003,2005,,
343,37529,4,38251,3,722,2002,2004,,
343,38251,3,38716,3,465,2004,2005,,
344,37041,4,38716,4,1675,2001,2005,,
345,36310,5,36667,5,357,1999,2000,,
346,37255,4,37620,5,365,2001,2002,,
346,37620,5,38716,5,1096,2002,2005,,
347,38351,4,38716,4,365,2004,2005,,
348,36301,3,38168,3,1867,1999,2004,,
348,38168,3,38716,3,548,2004,2005,,
350,36371,6,36454,5,83,1999,1999,,
350,36454,5,37255,6,801,1999,2001,,
350,37255,6,37771,6,516,2001,2003,,
350,37771,6,37985,6,214,2003,2003,,
351,36676,4,36890,6,214,2000,2000,,
351,36890,6,38716,8,1826,2000,2005,,
352,37041,4,37620,4,579,2001,2002,,
352,37620,4,38716,4,1096,2002,2005,,
354,36698,4,37225,4,527,2000,2001,,
354,37225,4,38168,5,943,2001,2004,,
354,38168,5,38716,5,548,2004,2005,,
355,36524,6,37129,8,605,1999,2001,,
355,37129,8,38716,8,1587,2001,2005,,
356,37397,3,37985,4,588,2002,2003,,
356,37985,4,38351,4,366,2003,2004,,
356,38351,4,38716,4,365,2004,2005,,
357,36768,2,36890,3,122,2000,2000,,
357,36890,3,37185,2,295,2000,2001,,
357,37185,2,38716,2,1531,2001,2005,,
358,36524,4,37032,4,508,1999,2001,,
358,37529,4,38716,4,1187,2002,2005,,
360,37255,2,38716,2,1461,2001,2005,,
361,37832,4,38716,4,884,2003,2005,,
362,36728,3,38716,3,1988,2000,2005,,
364,37041,3,37832,4,791,2001,2003,,
364,37832,4,38716,4,884,2003,2005,,
365,37581,2,38716,2,1135,2002,2005,,
369,37406,1,38716,1,1310,2002,2005,,
371,36890,1,38716,1,1826,2000,2005,,
372,36341,3,36728,3,387,1999,2000,,
372,36728,3,36820,2,92,2000,2000,,
372,36820,2,37041,2,221,2000,2001,,
373,36301,3,36676,2,375,1999,2000,,
373,36676,2,36890,3,214,2000,2000,,
373,36890,3,37093,2,203,2000,2001,,
373,37093,2,38716,2,1623,2001,2005,,
374,36890,2,38716,2,1826,2000,2005,,
375,38321,2,38716,2,395,2004,2005,,
376,36424,3,37032,4,608,1999,2001,,
376,37032,4,37397,4,365,2001,2002,,
376,37397,4,37985,5,588,2002,2003,,
376,37985,5,38716,5,731,2003,2005,,
377,37762,4,38716,4,954,2003,2005,,
378,37985,4,38716,4,731,2003,2005,,
379,37952,2,38716,2,764,2003,2005,,
380,36701,3,38716,3,2015,2000,2005,,
382,36676,3,37164,2,488,2000,2001,,
382,37164,2,38716,2,1552,2001,2005,,
385,38502,5,38716,5,214,2005,2005,,
386,36524,6,37185,6,661,1999,2001,,
386,37185,6,37762,6,577,2001,2003,,
386,37762,6,38351,6,589,2003,2004,,
386,38351,6,38533,7,182,2004,2005,,
