id,start.date,start.rating,end.date,end.rating,time,start.year,end.year,,,,,,id,start.date,start.rating,end.date,end.rating
83,41047,6,42366,6,1319,2012,2015,,,,44697,46016,83,37397,6,38716,6
85,42001,4,42366,4,365,2014,2015,,,,45651,46016,85,38351,4,38716,4
86,40531,5,41635,5,1104,2010,2013,,,,44181,45285,86,36881,5,37985,5
86,41635,5,41787,6,152,2013,2014,,,,45285,45437,86,37985,5,38137,6
86,41787,6,42366,6,579,2014,2015,,,,45437,46016,86,38137,6,38716,6
87,41170,3,42366,3,1196,2012,2015,,,,44820,46016,87,37520,3,38716,3
88,39951,5,40682,5,731,2009,2011,,,,43601,44332,88,36301,5,37032,5
88,40682,5,42366,5,1684,2011,2015,,,,44332,46016,88,37032,5,38716,5
89,40783,4,42366,4,1583,2011,2015,,,,44433,46016,89,37133,4,38716,4
91,40174,2,41421,3,1247,2009,2013,,,,43824,45071,91,36524,2,37771,3
92,39951,5,41565,5,1614,2009,2013,,,,43601,45215,92,36301,5,37915,5
92,41565,5,42001,4,436,2013,2014,,,,45215,45651,92,37915,5,38351,4
92,42001,4,42366,4,365,2014,2015,,,,45651,46016,92,38351,4,38716,4
93,41078,4,42001,4,923,2012,2014,,,,44728,45651,93,37428,4,38351,4
93,42001,4,42366,4,365,2014,2015,,,,45651,46016,93,38351,4,38716,4
94,40326,4,42366,4,2040,2010,2015,,,,43976,46016,94,36676,4,38716,4
95,42152,4,42366,4,214,2015,2015,,,,45802,46016,95,38502,4,38716,4
96,40540,3,42366,3,1826,2010,2015,,,,44190,46016,96,36890,3,38716,3
97,40713,5,40814,4,101,2011,2011,,,,44363,44464,97,37063,5,37164,4
97,40814,4,42001,5,1187,2011,2014,,,,44464,45651,97,37164,4,38351,5
97,42001,5,42366,5,365,2014,2015,,,,45651,46016,97,38351,5,38716,5
98,41050,3,42366,3,1316,2012,2015,,,,44700,46016,98,37400,3,38716,3
100,39951,4,40510,4,559,2009,2010,,,,43601,44160,100,36301,4,36860,4
100,40510,4,41635,3,1125,2010,2013,,,,44160,45285,100,36860,4,37985,3
100,41635,3,42366,3,731,2013,2015,,,,45285,46016,100,37985,3,38716,3
101,41270,3,42366,3,1096,2012,2015,,,,44920,46016,101,37620,3,38716,3
105,40174,3,42366,3,2192,2009,2015,,,,43824,46016,105,36524,3,38716,3
106,41179,4,41421,6,242,2012,2013,,,,44829,45071,106,37529,4,37771,6
106,41421,6,41605,5,184,2013,2013,,,,45071,45255,106,37771,6,37955,5
106,41605,5,42366,5,761,2013,2015,,,,45255,46016,106,37955,5,38716,5
107,39951,4,40682,4,731,2009,2011,,,,43601,44332,107,36301,4,37032,4
107,40682,4,42366,4,1684,2011,2015,,,,44332,46016,107,37032,4,38716,4
108,40174,3,41635,3,1461,2009,2013,,,,43824,45285,108,36524,3,37985,3
108,41635,3,42366,3,731,2013,2015,,,,45285,46016,108,37985,3,38716,3
110,40326,3,42366,3,2040,2010,2015,,,,43976,46016,110,36676,3,38716,3
111,40905,2,42366,2,1461,2011,2015,,,,44555,46016,111,37255,2,38716,2
111,40905,2,42366,2,1461,2011,2015,,,,44555,46016,111,37255,2,38716,2
112,42001,5,42366,5,365,2014,2015,,,,45651,46016,112,38351,5,38716,5
113,39960,4,40682,4,722,2009,2011,,,,43610,44332,113,36310,4,37032,4
113,40682,4,42366,4,1684,2011,2015,,,,44332,46016,113,37032,4,38716,4
114,41270,3,42366,3,1096,2012,2015,,,,44920,46016,114,37620,3,38716,3
115,39991,3,41635,3,1644,2009,2013,,,,43641,45285,115,36341,3,37985,3
115,41635,3,42366,3,731,2013,2015,,,,45285,46016,115,37985,3,38716,3
116,39960,4,40325,3,365,2009,2010,,,,43610,43975,116,36310,4,36675,3
116,40325,3,41787,3,1462,2010,2014,,,,43975,45437,116,36675,3,38137,3
116,41787,3,42366,3,579,2014,2015,,,,45437,46016,116,38137,3,38716,3
117,39960,4,40378,3,418,2009,2010,,,,43610,44028,117,36310,4,36728,3
117,40378,3,42366,3,1988,2010,2015,,,,44028,46016,117,36728,3,38716,3
118,42143,3,42366,4,223,2015,2015,,,,45793,46016,118,38493,3,38716,4
118,42143,4,42366,4,223,2015,2015,,,,45793,46016,118,38493,4,38716,4
120,39951,4,40174,4,223,2009,2009,,,,43601,43824,120,36301,4,36524,4
120,40174,4,42366,4,2192,2009,2015,,,,43824,46016,120,36524,4,38716,4
121,41901,4,42366,4,465,2014,2015,,,,45551,46016,121,38251,4,38716,4
122,40355,3,41565,2,1210,2010,2013,,,,44005,45215,122,36705,3,37915,2
122,41565,2,42366,2,801,2013,2015,,,,45215,46016,122,37915,2,38716,2
123,41421,3,41778,3,357,2013,2014,,,,45071,45428,123,37771,3,38128,3
123,41778,3,42366,3,588,2014,2015,,,,45428,46016,123,38128,3,38716,3
124,40074,3,42366,3,2292,2009,2015,,,,43724,46016,124,36424,3,38716,3
125,40174,2,42366,2,2192,2009,2015,,,,43824,46016,125,36524,2,38716,2
126,41056,5,41848,4,792,2012,2014,,,,44706,45498,126,37406,5,38198,4
126,41848,4,42366,4,518,2014,2015,,,,45498,46016,126,38198,4,38716,4
127,40113,5,40174,5,61,2009,2009,,,,43763,43824,127,36463,5,36524,5
127,40174,5,42366,6,2192,2009,2015,,,,43824,46016,127,36524,5,38716,6
127,40174,6,41848,5,1674,2009,2014,,,,43824,45498,127,36524,6,38198,5
127,41848,5,42366,5,518,2014,2015,,,,45498,46016,127,38198,5,38716,5
128,40144,2,41270,3,1126,2009,2012,,,,43794,44920,128,36494,2,37620,3
129,41778,3,42366,3,588,2014,2015,,,,45428,46016,129,38128,3,38716,3
132,40540,3,40682,3,142,2010,2011,,,,44190,44332,132,36890,3,37032,3
132,40682,3,42366,3,1684,2011,2015,,,,44332,46016,132,37032,3,38716,3
134,39958,2,40318,2,360,2009,2010,,,,43608,43968,134,36308,2,36668,2
134,40318,2,41786,2,1468,2010,2014,,,,43968,45436,134,36668,2,38136,2
134,41786,2,42366,2,580,2014,2015,,,,45436,46016,134,38136,2,38716,2
135,40326,3,40713,3,387,2010,2011,,,,43976,44363,135,36676,3,37063,3
135,40713,3,42366,3,1653,2011,2015,,,,44363,46016,135,37063,3,38716,3
137,40685,4,42366,4,1681,2011,2015,,,,44335,46016,137,37035,4,38716,4
139,40174,3,40691,4,517,2009,2011,,,,43824,44341,139,36524,3,37041,4
139,40691,4,42366,4,1675,2011,2015,,,,44341,46016,139,37041,4,38716,4
140,42152,3,42366,3,214,2015,2015,,,,45802,46016,140,38502,3,38716,3
142,40905,5,41787,4,882,2011,2014,,,,44555,45437,142,37255,5,38137,4
142,41787,4,42366,4,579,2014,2015,,,,45437,46016,142,38137,4,38716,4
143,40174,4,40326,3,152,2009,2010,,,,43824,43976,143,36524,4,36676,3
143,40326,3,41139,3,813,2010,2012,,,,43976,44789,143,36676,3,37489,3
143,41139,3,42366,3,1227,2012,2015,,,,44789,46016,143,37489,3,38716,3
144,41412,4,42366,4,954,2013,2015,,,,45062,46016,144,37762,4,38716,4
145,40326,3,42366,3,2040,2010,2015,,,,43976,46016,145,36676,3,38716,3
146,40722,1,42366,1,1644,2011,2015,,,,44372,46016,146,37072,1,38716,1
148,40317,3,42366,3,2049,2010,2015,,,,43967,46016,148,36667,3,38716,3
149,41209,4,41635,3,426,2012,2013,,,,44859,45285,149,37559,4,37985,3
149,41635,3,42366,3,731,2013,2015,,,,45285,46016,149,37985,3,38716,3
150,40687,2,40722,2,35,2011,2011,,,,44337,44372,150,37037,2,37072,2
150,40722,2,41785,2,1063,2011,2014,,,,44372,45435,150,37072,2,38135,2
150,41785,2,42366,2,581,2014,2015,,,,45435,46016,150,38135,2,38716,2
152,41421,2,42366,2,945,2013,2015,,,,45071,46016,152,37771,2,38716,2
153,40510,4,42366,4,1856,2010,2015,,,,44160,46016,153,36860,4,38716,4
154,41056,1,42366,1,1310,2012,2015,,,,44706,46016,154,37406,1,38716,1
155,41513,4,42366,4,853,2013,2015,,,,45163,46016,155,37863,4,38716,4
156,40174,6,40317,7,143,2009,2010,,,,43824,43967,156,36524,6,36667,7
156,40317,7,40326,6,9,2010,2010,,,,43967,43976,156,36667,7,36676,6
156,40326,6,41421,7,1095,2010,2013,,,,43976,45071,156,36676,6,37771,7
156,41421,7,41787,6,366,2013,2014,,,,45071,45437,156,37771,7,38137,6
156,41787,6,41971,6,184,2014,2014,,,,45437,45621,156,38137,6,38321,6
156,41971,6,42366,6,395,2014,2015,,,,45621,46016,156,38321,6,38716,6
157,41139,3,41231,3,92,2012,2012,,,,44789,44881,157,37489,3,37581,3
157,41231,3,41635,3,404,2012,2013,,,,44881,45285,157,37581,3,37985,3
160,40682,2,41635,3,953,2011,2013,,,,44332,45285,160,37032,2,37985,3
160,41635,3,42366,3,731,2013,2015,,,,45285,46016,160,37985,3,38716,3
161,39958,6,40378,6,420,2009,2010,,,,43608,44028,161,36308,6,36728,6
161,40378,6,41047,7,669,2010,2012,,,,44028,44697,161,36728,6,37397,7
161,41270,6,42366,7,1096,2012,2015,,,,44920,46016,161,37620,6,38716,7
161,41270,7,42366,7,1096,2012,2015,,,,44920,46016,161,37620,7,38716,7
162,39960,6,40107,6,147,2009,2009,,,,43610,43757,162,36310,6,36457,6
162,40107,6,42366,6,2259,2009,2015,,,,43757,46016,162,36457,6,38716,6
163,41270,3,42366,3,1096,2012,2015,,,,44920,46016,163,37620,3,38716,3
165,41056,6,41513,7,457,2012,2013,,,,44706,45163,165,37406,6,37863,7
165,41513,7,41787,6,274,2013,2014,,,,45163,45437,165,37863,7,38137,6
165,41787,6,42366,6,579,2014,2015,,,,45437,46016,165,38137,6,38716,6
166,40449,3,41270,3,821,2010,2012,,,,44099,44920,166,36799,3,37620,3
166,41270,3,42366,4,1096,2012,2015,,,,44920,46016,166,37620,3,38716,4
166,41270,4,42366,5,1096,2012,2015,,,,44920,46016,166,37620,4,38716,5
166,41270,5,41635,5,365,2012,2013,,,,44920,45285,166,37620,5,37985,5
166,41635,5,42366,5,731,2013,2015,,,,45285,46016,166,37985,5,38716,5
167,39951,4,41818,3,1867,2009,2014,,,,43601,45468,167,36301,4,38168,3
167,41818,3,42366,3,548,2014,2015,,,,45468,46016,167,38168,3,38716,3
168,41870,4,42366,4,496,2014,2015,,,,45520,46016,168,38220,4,38716,4
169,40326,2,40449,2,123,2010,2010,,,,43976,44099,169,36676,2,36799,2
169,40449,2,42366,2,1917,2010,2015,,,,44099,46016,169,36799,2,38716,2
170,40691,3,40905,3,214,2011,2011,,,,44341,44555,170,37041,3,37255,3
170,40905,3,41443,4,538,2011,2013,,,,44555,45093,170,37255,3,37793,4
170,41443,4,42001,5,558,2013,2014,,,,45093,45651,170,37793,4,38351,5
171,40326,3,42001,3,1675,2010,2014,,,,43976,45651,171,36676,3,38351,3
171,42001,3,42366,3,365,2014,2015,,,,45651,46016,171,38351,3,38716,3
172,41565,3,42366,3,801,2013,2015,,,,45215,46016,172,37915,3,38716,3
173,40905,2,41056,3,151,2011,2012,,,,44555,44706,173,37255,2,37406,3
173,41818,2,42366,2,548,2014,2015,,,,45468,46016,173,38168,2,38716,2
175,42001,4,42366,4,365,2014,2015,,,,45651,46016,175,38351,4,38716,4
176,39991,5,40317,5,326,2009,2010,,,,43641,43967,176,36341,5,36667,5
176,40317,5,41056,4,739,2010,2012,,,,43967,44706,176,36667,5,37406,4
177,42143,2,42152,2,9,2015,2015,,,,45793,45802,177,38493,2,38502,2
177,42152,2,42366,2,214,2015,2015,,,,45802,46016,177,38502,2,38716,2
180,42147,2,42366,2,219,2015,2015,,,,45797,46016,180,38497,2,38716,2
181,41848,4,42143,3,295,2014,2015,,,,45498,45793,181,38198,4,38493,3
181,42143,3,42366,3,223,2015,2015,,,,45793,46016,181,38493,3,38716,3
182,40682,3,41635,3,953,2011,2013,,,,44332,45285,182,37032,3,37985,3
182,41635,3,42366,3,731,2013,2015,,,,45285,46016,182,37985,3,38716,3
184,41421,3,42366,3,945,2013,2015,,,,45071,46016,184,37771,3,38716,3
185,41839,3,42366,3,527,2014,2015,,,,45489,46016,185,38189,3,38716,3
187,40412,2,41574,2,1162,2010,2013,,,,44062,45224,187,36762,2,37924,2
187,41574,2,42366,2,792,2013,2015,,,,45224,46016,187,37924,2,38716,2
188,40540,3,42366,3,1826,2010,2015,,,,44190,46016,188,36890,3,38716,3
189,41117,4,42366,4,1249,2012,2015,,,,44767,46016,189,37467,4,38716,4
191,41056,3,41209,4,153,2012,2012,,,,44706,44859,191,37406,3,37559,4
191,41209,4,41270,4,61,2012,2012,,,,44859,44920,191,37559,4,37620,4
191,41270,4,42366,5,1096,2012,2015,,,,44920,46016,191,37620,4,38716,5
191,41270,5,42366,5,1096,2012,2015,,,,44920,46016,191,37620,5,38716,5
192,40357,3,40682,3,325,2010,2011,,,,44007,44332,192,36707,3,37032,3
192,40682,3,42366,3,1684,2011,2015,,,,44332,46016,192,37032,3,38716,3
194,41209,3,41412,3,203,2012,2013,,,,44859,45062,194,37559,3,37762,3
194,41412,3,42366,3,954,2013,2015,,,,45062,46016,194,37762,3,38716,3
195,40540,4,41209,4,669,2010,2012,,,,44190,44859,195,36890,4,37559,4
195,41209,4,42152,4,943,2012,2015,,,,44859,45802,195,37559,4,38502,4
195,42152,4,42366,4,214,2015,2015,,,,45802,46016,195,38502,4,38716,4
197,41635,2,42366,2,731,2013,2015,,,,45285,46016,197,37985,2,38716,2
198,40173,4,41421,5,1248,2009,2013,,,,43823,45071,198,36523,4,37771,5
198,41421,5,42366,5,945,2013,2015,,,,45071,46016,198,37771,5,38716,5
200,39960,4,42366,4,2406,2009,2015,,,,43610,46016,200,36310,4,38716,4
201,42001,4,42366,4,365,2014,2015,,,,45651,46016,201,38351,4,38716,4
202,39982,5,40074,5,92,2009,2009,,,,43632,43724,202,36332,5,36424,5
202,40074,5,40905,5,831,2009,2011,,,,43724,44555,202,36424,5,37255,5
202,40905,5,42366,5,1461,2011,2015,,,,44555,46016,202,37255,5,38716,5
203,41421,6,41787,6,366,2013,2014,,,,45071,45437,203,37771,6,38137,6
203,41787,6,42366,6,579,2014,2015,,,,45437,46016,203,38137,6,38716,6
204,40774,3,41056,3,282,2011,2012,,,,44424,44706,204,37124,3,37406,3
204,41056,3,42366,4,1310,2012,2015,,,,44706,46016,204,37406,3,38716,4
204,41056,4,41139,6,83,2012,2012,,,,44706,44789,204,37406,4,37489,6
204,41139,6,41170,5,31,2012,2012,,,,44789,44820,204,37489,6,37520,5
204,41170,5,41270,4,100,2012,2012,,,,44820,44920,204,37520,5,37620,4
206,40348,4,40752,4,404,2010,2011,,,,43998,44402,206,36698,4,37102,4
206,40752,4,41940,5,1188,2011,2014,,,,44402,45590,206,37102,4,38290,5
206,41940,5,42366,5,426,2014,2015,,,,45590,46016,206,38290,5,38716,5
208,41078,6,41179,6,101,2012,2012,,,,44728,44829,208,37428,6,37529,6
208,41179,6,41270,5,91,2012,2012,,,,44829,44920,208,37529,6,37620,5
208,41270,5,42366,5,1096,2012,2015,,,,44920,46016,208,37620,5,38716,5
211,40018,2,40682,2,664,2009,2011,,,,43668,44332,211,36368,2,37032,2
211,40682,2,41635,2,953,2011,2013,,,,44332,45285,211,37032,2,37985,2
211,41635,2,42366,2,731,2013,2015,,,,45285,46016,211,37985,2,38716,2
212,42001,4,42366,4,365,2014,2015,,,,45651,46016,212,38351,4,38716,4
213,41056,4,42366,4,1310,2012,2015,,,,44706,46016,213,37406,4,38716,4
214,39960,4,41209,4,1249,2009,2012,,,,43610,44859,214,36310,4,37559,4
214,41209,4,42366,4,1157,2012,2015,,,,44859,46016,214,37559,4,38716,4
215,41047,3,42366,3,1319,2012,2015,,,,44697,46016,215,37397,3,38716,3
216,39951,2,41270,1,1319,2009,2012,,,,43601,44920,216,36301,2,37620,1
216,41270,1,42366,1,1096,2012,2015,,,,44920,46016,216,37620,1,38716,1
219,41605,3,42366,3,761,2013,2015,,,,45255,46016,219,37955,3,38716,3
220,40418,4,42366,4,1948,2010,2015,,,,44068,46016,220,36768,4,38716,4
221,40174,4,42366,4,2192,2009,2015,,,,43824,46016,221,36524,4,38716,4
222,40440,3,41443,3,1003,2010,2013,,,,44090,45093,222,36790,3,37793,3
222,41443,3,42366,3,923,2013,2015,,,,45093,46016,222,37793,3,38716,3
223,41108,4,42366,4,1258,2012,2015,,,,44758,46016,223,37458,4,38716,4
