id,start.date,start.rating,end.date,end.rating,time,start.year,end.year
73,39960,5,40540,5,580,2009,2010
73,40540,5,41270,4,730,2010,2012
73,41270,4,42366,4,1096,2012,2015
74,40019,5,40326,5,307,2009,2010
74,40326,5,41056,4,730,2010,2012
74,41056,4,42366,4,1310,2012,2015
75,40113,3,41421,3,1308,2009,2013
75,41421,3,42366,3,945,2013,2015
76,41056,3,41473,3,417,2012,2013
77,40752,4,41544,6,792,2011,2013
77,41544,6,41635,6,91,2013,2013
77,41635,6,42366,6,731,2013,2015
78,41270,1,42366,1,1096,2012,2015
79,41787,2,42366,2,579,2014,2015
81,40905,3,41087,4,182,2011,2012
81,41087,4,42366,4,1279,2012,2015
82,40722,4,41412,4,690,2011,2013
82,41412,4,42366,4,954,2013,2015
83,39951,5,40174,5,223,2009,2009
83,40174,5,40866,6,692,2009,2011
83,40866,6,41047,6,181,2011,2012
83,41047,6,42366,6,1319,2012,2015
85,42001,4,42366,4,365,2014,2015
86,40531,5,41635,5,1104,2010,2013
86,41635,5,41787,6,152,2013,2014
86,41787,6,42366,6,579,2014,2015
87,41170,3,42366,3,1196,2012,2015
88,39951,5,40682,5,731,2009,2011
88,40682,5,42366,5,1684,2011,2015
89,40783,4,42366,4,1583,2011,2015
91,40174,2,41421,3,1247,2009,2013
92,39951,5,41565,5,1614,2009,2013
92,41565,5,42001,4,436,2013,2014
92,42001,4,42366,4,365,2014,2015
93,41078,4,42001,4,923,2012,2014
93,42001,4,42366,4,365,2014,2015
94,40326,4,42366,4,2040,2010,2015
95,42152,4,42366,4,214,2015,2015
96,40540,3,42366,3,1826,2010,2015
97,40713,5,40814,4,101,2011,2011
97,40814,4,42001,5,1187,2011,2014
97,42001,5,42366,5,365,2014,2015
98,41050,3,42366,3,1316,2012,2015
100,39951,4,40510,4,559,2009,2010
100,40510,4,41635,3,1125,2010,2013
100,41635,3,42366,3,731,2013,2015
101,41270,3,42366,3,1096,2012,2015
105,40174,3,42366,3,2192,2009,2015
106,41179,4,41421,6,242,2012,2013
106,41421,6,41605,5,184,2013,2013
106,41605,5,42366,5,761,2013,2015
107,39951,4,40682,4,731,2009,2011
107,40682,4,42366,4,1684,2011,2015
108,40174,3,41635,3,1461,2009,2013
108,41635,3,42366,3,731,2013,2015
110,40326,3,42366,3,2040,2010,2015
111,40905,2,42366,2,1461,2011,2015
111,40905,2,42366,2,1461,2011,2015
112,42001,5,42366,5,365,2014,2015
113,39960,4,40682,4,722,2009,2011
113,40682,4,42366,4,1684,2011,2015
114,41270,3,42366,3,1096,2012,2015
115,39991,3,41635,3,1644,2009,2013
115,41635,3,42366,3,731,2013,2015
116,39960,4,40325,3,365,2009,2010
116,40325,3,41787,3,1462,2010,2014
116,41787,3,42366,3,579,2014,2015
117,39960,4,40378,3,418,2009,2010
117,40378,3,42366,3,1988,2010,2015
118,42143,3,42366,4,223,2015,2015
118,42143,4,42366,4,223,2015,2015
120,39951,4,40174,4,223,2009,2009
120,40174,4,42366,4,2192,2009,2015
121,41901,4,42366,4,465,2014,2015
122,40355,3,41565,2,1210,2010,2013
122,41565,2,42366,2,801,2013,2015
123,41421,3,41778,3,357,2013,2014
123,41778,3,42366,3,588,2014,2015
124,40074,3,42366,3,2292,2009,2015
125,40174,2,42366,2,2192,2009,2015
126,41056,5,41848,4,792,2012,2014
126,41848,4,42366,4,518,2014,2015
127,40113,5,40174,5,61,2009,2009
127,40174,5,42366,6,2192,2009,2015
127,40174,6,41848,5,1674,2009,2014
127,41848,5,42366,5,518,2014,2015
128,40144,2,41270,3,1126,2009,2012
129,41778,3,42366,3,588,2014,2015
132,40540,3,40682,3,142,2010,2011
132,40682,3,42366,3,1684,2011,2015
134,39958,2,40318,2,360,2009,2010
134,40318,2,41786,2,1468,2010,2014
134,41786,2,42366,2,580,2014,2015
135,40326,3,40713,3,387,2010,2011
135,40713,3,42366,3,1653,2011,2015
137,40685,4,42366,4,1681,2011,2015
139,40174,3,40691,4,517,2009,2011
139,40691,4,42366,4,1675,2011,2015
140,42152,3,42366,3,214,2015,2015
142,40905,5,41787,4,882,2011,2014
142,41787,4,42366,4,579,2014,2015
143,40174,4,40326,3,152,2009,2010
143,40326,3,41139,3,813,2010,2012
143,41139,3,42366,3,1227,2012,2015
144,41412,4,42366,4,954,2013,2015
145,40326,3,42366,3,2040,2010,2015
146,40722,1,42366,1,1644,2011,2015
148,40317,3,42366,3,2049,2010,2015
149,41209,4,41635,3,426,2012,2013
149,41635,3,42366,3,731,2013,2015
150,40687,2,40722,2,35,2011,2011
150,40722,2,41785,2,1063,2011,2014
150,41785,2,42366,2,581,2014,2015
152,41421,2,42366,2,945,2013,2015
153,40510,4,42366,4,1856,2010,2015
154,41056,1,42366,1,1310,2012,2015
155,41513,4,42366,4,853,2013,2015
156,40174,6,40317,7,143,2009,2010
156,40317,7,40326,6,9,2010,2010
156,40326,6,41421,7,1095,2010,2013
156,41421,7,41787,6,366,2013,2014
156,41787,6,41971,6,184,2014,2014
156,41971,6,42366,6,395,2014,2015
157,41139,3,41231,3,92,2012,2012
157,41231,3,41635,3,404,2012,2013
160,40682,2,41635,3,953,2011,2013
160,41635,3,42366,3,731,2013,2015
161,39958,6,40378,6,420,2009,2010
161,40378,6,41047,7,669,2010,2012
161,41270,6,42366,7,1096,2012,2015
161,41270,7,42366,7,1096,2012,2015
162,39960,6,40107,6,147,2009,2009
162,40107,6,42366,6,2259,2009,2015
163,41270,3,42366,3,1096,2012,2015
165,41056,6,41513,7,457,2012,2013
165,41513,7,41787,6,274,2013,2014
165,41787,6,42366,6,579,2014,2015
166,40449,3,41270,3,821,2010,2012
166,41270,3,42366,4,1096,2012,2015
166,41270,4,42366,5,1096,2012,2015
166,41270,5,41635,5,365,2012,2013
166,41635,5,42366,5,731,2013,2015
167,39951,4,41818,3,1867,2009,2014
167,41818,3,42366,3,548,2014,2015
168,41870,4,42366,4,496,2014,2015
169,40326,2,40449,2,123,2010,2010
169,40449,2,42366,2,1917,2010,2015
170,40691,3,40905,3,214,2011,2011
170,40905,3,41443,4,538,2011,2013
170,41443,4,42001,5,558,2013,2014
171,40326,3,42001,3,1675,2010,2014
171,42001,3,42366,3,365,2014,2015
172,41565,3,42366,3,801,2013,2015
173,40905,2,41056,3,151,2011,2012
173,41818,2,42366,2,548,2014,2015
175,42001,4,42366,4,365,2014,2015
176,39991,5,40317,5,326,2009,2010
176,40317,5,41056,4,739,2010,2012
177,42143,2,42152,2,9,2015,2015
177,42152,2,42366,2,214,2015,2015
180,42147,2,42366,2,219,2015,2015
181,41848,4,42143,3,295,2014,2015
181,42143,3,42366,3,223,2015,2015
182,40682,3,41635,3,953,2011,2013
182,41635,3,42366,3,731,2013,2015
184,41421,3,42366,3,945,2013,2015
185,41839,3,42366,3,527,2014,2015
187,40412,2,41574,2,1162,2010,2013
187,41574,2,42366,2,792,2013,2015
188,40540,3,42366,3,1826,2010,2015
189,41117,4,42366,4,1249,2012,2015
191,41056,3,41209,4,153,2012,2012
191,41209,4,41270,4,61,2012,2012
191,41270,4,42366,5,1096,2012,2015
191,41270,5,42366,5,1096,2012,2015
192,40357,3,40682,3,325,2010,2011
192,40682,3,42366,3,1684,2011,2015
194,41209,3,41412,3,203,2012,2013
194,41412,3,42366,3,954,2013,2015
195,40540,4,41209,4,669,2010,2012
195,41209,4,42152,4,943,2012,2015
195,42152,4,42366,4,214,2015,2015
197,41635,2,42366,2,731,2013,2015
198,40173,4,41421,5,1248,2009,2013
198,41421,5,42366,5,945,2013,2015
200,39960,4,42366,4,2406,2009,2015
201,42001,4,42366,4,365,2014,2015
202,39982,5,40074,5,92,2009,2009
202,40074,5,40905,5,831,2009,2011
202,40905,5,42366,5,1461,2011,2015
203,41421,6,41787,6,366,2013,2014
203,41787,6,42366,6,579,2014,2015
204,40774,3,41056,3,282,2011,2012
204,41056,3,42366,4,1310,2012,2015
204,41056,4,41139,6,83,2012,2012
204,41139,6,41170,5,31,2012,2012
204,41170,5,41270,4,100,2012,2012
206,40348,4,40752,4,404,2010,2011
206,40752,4,41940,5,1188,2011,2014
206,41940,5,42366,5,426,2014,2015
208,41078,6,41179,6,101,2012,2012
208,41179,6,41270,5,91,2012,2012
208,41270,5,42366,5,1096,2012,2015
211,40018,2,40682,2,664,2009,2011
211,40682,2,41635,2,953,2011,2013
211,41635,2,42366,2,731,2013,2015
212,42001,4,42366,4,365,2014,2015
213,41056,4,42366,4,1310,2012,2015
214,39960,4,41209,4,1249,2009,2012
214,41209,4,42366,4,1157,2012,2015
215,41047,3,42366,3,1319,2012,2015
216,39951,2,41270,1,1319,2009,2012
216,41270,1,42366,1,1096,2012,2015
219,41605,3,42366,3,761,2013,2015
220,40418,4,42366,4,1948,2010,2015
221,40174,4,42366,4,2192,2009,2015
222,40440,3,41443,3,1003,2010,2013
222,41443,3,42366,3,923,2013,2015
223,41108,4,42366,4,1258,2012,2015
224,40479,5,40905,5,426,2010,2011
224,40905,5,41544,6,639,2011,2013
224,41544,6,41818,6,274,2013,2014
224,41818,6,42366,6,548,2014,2015
226,39960,4,42001,3,2041,2009,2014
227,41635,3,42366,3,731,2013,2015
229,40540,3,40682,3,142,2010,2011
229,40682,3,42366,3,1684,2011,2015
230,41240,4,41270,4,30,2012,2012
230,41270,4,41992,3,722,2012,2014
230,41992,3,42366,3,374,2014,2015
231,40905,3,41421,4,516,2011,2013
231,41421,4,41778,4,357,2013,2014
231,41778,4,42366,4,588,2014,2015
231,42366,4,42366,4,0,2015,2015
232,40174,3,42366,3,2192,2009,2015
233,40691,4,42366,4,1675,2011,2015
234,40479,2,42366,2,1887,2010,2015
235,40174,4,42366,4,2192,2009,2015
237,40540,3,42366,3,1826,2010,2015
238,40326,3,40682,3,356,2010,2011
238,40682,3,40905,3,223,2011,2011
238,40905,3,42366,3,1461,2011,2015
239,40682,3,41270,3,588,2011,2012
239,41270,3,42366,3,1096,2012,2015
241,39951,5,40379,4,428,2009,2010
241,40379,4,40835,4,456,2010,2011
241,40835,4,41270,3,435,2011,2012
241,41270,3,42366,3,1096,2012,2015
242,41170,5,42001,3,831,2012,2014
242,42001,3,42366,3,365,2014,2015
243,40317,3,42001,3,1684,2010,2014
243,42001,3,42366,3,365,2014,2015
244,39951,4,41931,3,1980,2009,2014
244,41931,3,42366,3,435,2014,2015
246,40326,3,40774,4,448,2010,2011
246,40774,4,41117,4,343,2011,2012
247,39951,3,40774,4,823,2009,2011
247,40774,4,40905,3,131,2011,2011
247,40905,3,41051,4,146,2011,2012
247,41051,4,42366,4,1315,2012,2015
248,40682,4,42366,5,1684,2011,2015
248,40682,5,42366,5,1684,2011,2015
248,40682,5,41270,5,588,2011,2012
248,41270,5,41412,6,142,2012,2013
248,41412,6,42183,5,771,2013,2015
248,42183,5,42366,5,183,2015,2015
249,40866,5,41179,6,313,2011,2012
249,41179,6,41421,6,242,2012,2013
249,41421,6,42366,6,945,2013,2015
250,40905,4,42366,4,1461,2011,2015
251,39951,6,40531,6,580,2009,2010
251,40531,6,40691,6,160,2010,2011
251,40691,6,41940,6,1249,2011,2014
251,41940,6,42001,6,61,2014,2014
251,42001,6,42366,6,365,2014,2015
252,40540,4,41240,4,700,2010,2012
252,41240,4,42366,4,1126,2012,2015
253,40317,5,42366,5,2049,2010,2015
254,40774,6,41421,6,647,2011,2013
254,41421,6,42366,6,945,2013,2015
255,40691,5,41605,6,914,2011,2013
255,41605,6,42366,6,761,2013,2015
256,39951,3,40691,4,740,2009,2011
256,40691,4,42366,4,1675,2011,2015
257,40835,4,41635,4,800,2011,2013
257,41635,4,41879,4,244,2013,2014
257,41879,4,42305,5,426,2014,2015
257,42305,5,42366,5,61,2015,2015
258,40752,3,42366,3,1614,2011,2015
259,40174,5,40540,5,366,2009,2010
259,40540,5,40905,6,365,2010,2011
259,40905,6,41780,5,875,2011,2014
259,41780,5,42366,5,586,2014,2015
261,41056,3,41421,4,365,2012,2013
261,41421,4,41635,4,214,2013,2013
261,41635,4,42366,4,731,2013,2015
262,40479,2,41270,1,791,2010,2012
262,41270,1,42366,1,1096,2012,2015
263,41047,5,41240,6,193,2012,2012
263,41240,6,42366,6,1126,2012,2015
264,40317,3,40713,4,396,2010,2011
264,40713,4,42305,5,1592,2011,2015
264,42305,5,42366,5,61,2015,2015
265,40317,8,42366,8,2049,2010,2015
266,40317,4,40721,4,404,2010,2011
266,40721,4,41087,3,366,2011,2012
266,41087,3,42366,3,1279,2012,2015
267,41787,3,42366,3,579,2014,2015
268,40020,6,40722,7,702,2009,2011
269,40317,4,41143,6,826,2010,2012
269,41143,6,41170,5,27,2012,2012
269,41170,5,41421,6,251,2012,2013
269,41421,6,42143,6,722,2013,2015
269,42143,6,42366,6,223,2015,2015
270,41078,5,41635,5,557,2012,2013
270,41635,5,42366,5,731,2013,2015
271,40540,3,40752,2,212,2010,2011
271,40752,2,42366,2,1614,2011,2015
272,40682,3,41047,4,365,2011,2012
272,41047,4,42366,4,1319,2012,2015
273,40691,4,41412,5,721,2011,2013
273,41412,5,41421,4,9,2013,2013
273,41421,4,41778,5,357,2013,2014
273,41778,5,42366,5,588,2014,2015
274,40814,3,42366,3,1552,2011,2015
275,39991,2,42366,2,2375,2009,2015
276,39960,2,42366,2,2406,2009,2015
277,42148,2,42366,2,218,2015,2015
279,40418,5,40682,4,264,2010,2011
280,40835,4,41056,4,221,2011,2012
280,41056,4,41544,4,488,2012,2013
280,41544,4,41635,5,91,2013,2013
280,41635,5,41783,6,148,2013,2014
280,41783,6,42366,6,583,2014,2015
281,39951,5,40540,4,589,2009,2010
281,40540,4,40774,4,234,2010,2011
282,40905,3,42366,3,1461,2011,2015
283,40540,3,40682,4,142,2010,2011
283,40682,4,41056,4,374,2011,2012
283,41056,4,41270,5,214,2012,2012
283,41270,5,41412,6,142,2012,2013
283,41412,6,42143,6,731,2013,2015
283,42143,6,42366,6,223,2015,2015
285,40174,6,42366,6,2192,2009,2015
286,40774,3,42366,3,1592,2011,2015
287,40682,3,41047,4,365,2011,2012
287,41047,4,42366,4,1319,2012,2015
288,40682,3,42366,3,1684,2011,2015
289,41240,3,42366,3,1126,2012,2015
290,41596,4,42366,4,770,2013,2015
291,40905,1,42366,1,1461,2011,2015
292,40113,4,40814,4,701,2009,2011
293,39982,4,41209,4,1227,2009,2012
293,41209,4,41635,4,426,2012,2013
293,41635,4,41779,5,144,2013,2014
293,41779,5,42366,5,587,2014,2015
294,41139,5,42366,7,1227,2012,2015
294,41139,7,41170,5,31,2012,2012
295,40691,6,40743,7,52,2011,2011
295,40743,7,42366,8,1623,2011,2015
295,40743,8,41635,7,892,2011,2013
295,41635,7,41778,7,143,2013,2014
295,41778,7,42366,7,588,2014,2015
296,40905,6,41056,6,151,2011,2012
296,41056,6,41418,7,362,2012,2013
296,41418,7,42366,7,948,2013,2015
300,42152,4,42366,4,214,2015,2015
301,40875,4,41270,4,395,2011,2012
301,41270,4,41452,4,182,2012,2013
301,41452,4,42366,4,914,2013,2015
303,41565,5,41901,5,336,2013,2014
303,41901,5,42366,5,465,2014,2015
304,40875,2,40905,1,30,2011,2011
304,40905,1,42152,2,1247,2011,2015
304,42152,2,42366,2,214,2015,2015
304,42152,2,42366,2,214,2015,2015
305,40722,4,40783,4,61,2011,2011
305,40783,4,40905,5,122,2011,2011
305,40905,5,41051,5,146,2011,2012
305,41051,5,42366,5,1315,2012,2015
306,39960,4,42366,4,2406,2009,2015
307,41421,3,42366,3,945,2013,2015
308,42152,2,42366,2,214,2015,2015
308,42152,2,42366,2,214,2015,2015
312,40021,6,42366,6,2345,2009,2015
313,41108,2,41421,3,313,2012,2013
313,41421,3,42366,3,945,2013,2015
314,40107,7,42366,7,2259,2009,2015
315,42143,5,42366,5,223,2015,2015
316,41962,4,42366,4,404,2014,2015
317,40691,8,40714,6,23,2011,2011
317,40714,6,40905,7,191,2011,2011
317,40905,7,42366,7,1461,2011,2015
318,40540,5,42001,4,1461,2010,2014
318,42001,4,42366,4,365,2014,2015
319,41513,4,42366,4,853,2013,2015
320,40021,7,40174,7,153,2009,2009
322,39951,3,40752,4,801,2009,2011
322,40752,4,41476,4,724,2011,2013
322,41476,4,42366,4,890,2013,2015
323,40144,3,40326,3,182,2009,2010
323,40326,3,40691,3,365,2010,2011
323,40691,3,42001,5,1310,2011,2014
323,42001,5,42366,5,365,2014,2015
324,41787,3,42366,3,579,2014,2015
325,40113,6,40317,6,204,2009,2010
325,40317,6,40326,6,9,2010,2010
325,40326,6,40682,7,356,2010,2011
325,40682,7,40722,7,40,2011,2011
326,41839,3,42366,3,527,2014,2015
328,39960,6,40317,5,357,2009,2010
328,40317,5,41870,5,1553,2010,2014
328,41870,5,42366,5,496,2014,2015
329,40875,4,40905,5,30,2011,2011
329,40905,5,42366,6,1461,2011,2015
329,40905,6,41078,6,173,2011,2012
329,41078,6,41574,7,496,2012,2013
329,41574,7,42366,7,792,2013,2015
330,41443,6,42366,6,923,2013,2015
331,40144,6,40540,7,396,2009,2010
331,40540,7,42366,7,1826,2010,2015
334,39960,6,39982,8,22,2009,2009
334,39982,8,40144,5,162,2009,2009
334,40144,5,40687,5,543,2009,2011
334,40687,5,42366,5,1679,2011,2015
335,40783,4,41635,3,852,2011,2013
335,41635,3,42366,3,731,2013,2015
336,41421,4,42366,4,945,2013,2015
337,41240,4,42366,4,1126,2012,2015
338,40322,3,41931,3,1609,2010,2014
338,41931,3,42366,3,435,2014,2015
339,40021,3,40144,4,123,2009,2009
339,40144,4,40682,4,538,2009,2011
339,40682,4,40905,4,223,2011,2011
339,40905,4,42275,4,1370,2011,2015
339,42275,4,42366,4,91,2015,2015
340,39960,5,41535,6,1575,2009,2013
340,41535,6,42366,6,831,2013,2015
341,41778,2,42366,2,588,2014,2015
342,40174,6,40682,6,508,2009,2011
342,40682,6,40774,7,92,2011,2011
342,40774,7,40805,8,31,2011,2011
342,40805,8,40875,7,70,2011,2011
342,40875,7,40905,6,30,2011,2011
342,40905,6,41635,7,730,2011,2013
342,41635,7,42366,7,731,2013,2015
343,41179,4,41901,3,722,2012,2014
343,41901,3,42366,3,465,2014,2015
344,40691,4,42366,4,1675,2011,2015
345,39960,5,40317,5,357,2009,2010
346,40905,4,41270,5,365,2011,2012
346,41270,5,42366,5,1096,2012,2015
347,42001,4,42366,4,365,2014,2015
348,39951,3,41818,3,1867,2009,2014
348,41818,3,42366,3,548,2014,2015
350,40021,6,40104,5,83,2009,2009
350,40104,5,40905,6,801,2009,2011
350,40905,6,41421,6,516,2011,2013
350,41421,6,41635,6,214,2013,2013
351,40326,4,40540,6,214,2010,2010
351,40540,6,42366,8,1826,2010,2015
352,40691,4,41270,4,579,2011,2012
352,41270,4,42366,4,1096,2012,2015
354,40348,4,40875,4,527,2010,2011
354,40875,4,41818,5,943,2011,2014
354,41818,5,42366,5,548,2014,2015
355,40174,6,40779,8,605,2009,2011
355,40779,8,42366,8,1587,2011,2015
356,41047,3,41635,4,588,2012,2013
356,41635,4,42001,4,366,2013,2014
356,42001,4,42366,4,365,2014,2015
357,40418,2,40540,3,122,2010,2010
357,40540,3,40835,2,295,2010,2011
357,40835,2,42366,2,1531,2011,2015
358,40174,4,40682,4,508,2009,2011
358,41179,4,42366,4,1187,2012,2015
360,40905,2,42366,2,1461,2011,2015
361,41482,4,42366,4,884,2013,2015
362,40378,3,42366,3,1988,2010,2015
364,40691,3,41482,4,791,2011,2013
364,41482,4,42366,4,884,2013,2015
365,41231,2,42366,2,1135,2012,2015
369,41056,1,42366,1,1310,2012,2015
371,40540,1,42366,1,1826,2010,2015
372,39991,3,40378,3,387,2009,2010
372,40378,3,40470,2,92,2010,2010
372,40470,2,40691,2,221,2010,2011
373,39951,3,40326,2,375,2009,2010
373,40326,2,40540,3,214,2010,2010
373,40540,3,40743,2,203,2010,2011
373,40743,2,42366,2,1623,2011,2015
374,40540,2,42366,2,1826,2010,2015
375,41971,2,42366,2,395,2014,2015
376,40074,3,40682,4,608,2009,2011
376,40682,4,41047,4,365,2011,2012
376,41047,4,41635,5,588,2012,2013
376,41635,5,42366,5,731,2013,2015
377,41412,4,42366,4,954,2013,2015
378,41635,4,42366,4,731,2013,2015
379,41602,2,42366,2,764,2013,2015
380,40351,3,42366,3,2015,2010,2015
382,40326,3,40814,2,488,2010,2011
382,40814,2,42366,2,1552,2011,2015
385,42152,5,42366,5,214,2015,2015
386,40174,6,40835,6,661,2009,2011
386,40835,6,41412,6,577,2011,2013
386,41412,6,42001,6,589,2013,2014
386,42001,6,42183,7,182,2014,2015
386,42183,7,42366,7,183,2015,2015
387,40174,3,42366,3,2192,2009,2015
388,41108,3,42366,3,1258,2012,2015
389,39960,3,41056,3,1096,2009,2012
389,41056,3,42366,3,1310,2012,2015
390,39951,2,41201,3,1250,2009,2012
390,41201,3,41635,2,434,2012,2013
390,41635,2,42366,2,731,2013,2015
391,40440,3,41270,2,830,2010,2012
392,40540,3,42366,3,1826,2010,2015
393,40540,6,40905,5,365,2010,2011
393,40905,5,41270,5,365,2011,2012
393,41270,5,41901,5,631,2012,2014
393,41901,5,42366,5,465,2014,2015
394,41839,6,41870,5,31,2014,2014
394,41870,5,42366,5,496,2014,2015
396,40540,4,40905,3,365,2010,2011
396,40905,3,42149,3,1244,2011,2015
396,42149,3,42366,3,217,2015,2015
397,41047,3,42366,3,1319,2012,2015
398,40713,2,42366,2,1653,2011,2015
401,39951,4,41778,3,1827,2009,2014
401,41778,3,41901,3,123,2014,2014
401,41901,3,42366,3,465,2014,2015
403,40113,4,41778,4,1665,2009,2014
403,41778,4,42152,3,374,2014,2015
403,42152,3,42366,3,214,2015,2015
404,40317,2,42366,2,2049,2010,2015
405,40326,2,42366,2,2040,2010,2015
406,39960,7,42366,8,2406,2009,2015
409,41270,3,42001,2,731,2012,2014
409,42001,2,42366,2,365,2014,2015
411,39951,6,40174,6,223,2009,2009
411,40174,6,40905,6,731,2009,2011
412,39954,5,40418,4,464,2009,2010
412,40418,4,41240,4,822,2010,2012
413,39960,3,40540,2,580,2009,2010
413,40540,2,42366,2,1826,2010,2015
414,41412,2,41879,2,467,2013,2014
414,41879,2,42366,2,487,2014,2015
415,40021,2,42366,2,2345,2009,2015
416,40682,3,42366,3,1684,2011,2015
417,40449,3,42366,3,1917,2010,2015
418,40905,2,42366,2,1461,2011,2015
419,40905,2,42366,2,1461,2011,2015
421,40540,4,41148,5,608,2010,2012
421,41148,5,42366,5,1218,2012,2015
422,39982,5,40326,4,344,2009,2010
422,40326,4,40743,4,417,2010,2011
422,40743,4,41054,4,311,2011,2012
422,41054,4,42366,4,1312,2012,2015
423,42001,4,42366,4,365,2014,2015
424,40537,2,41412,3,875,2010,2013
424,41412,3,42366,3,954,2013,2015
425,40326,2,41270,3,944,2010,2012
425,41270,3,41421,3,151,2012,2013
425,41421,3,42366,3,945,2013,2015
426,40905,3,41635,3,730,2011,2013
426,41635,3,42366,3,731,2013,2015
427,40479,3,42366,3,1887,2010,2015
428,40844,3,42366,3,1522,2011,2015
429,41087,4,42366,4,1279,2012,2015
